"TABLA 34: ""INSTITUCIONES EDUCATIVAS Y SUS CARRERAS""",,,,,Vigente a partir del 01/07/2014,,
Elaborada según el Clasificador de Instituciones de Educación Superior y Técnico Productivas (v1) y el Clasificador de Carreras de Educación Superior y Técnico productivas (v1) aprobados por el Instituto Nacional de Estadística e Informática - INEI.,,,,,,,
Abreviaturas,,,,,,,
IEST : Instituto de Educación Superior Técnologica.,,,,,,,
ISP : Instituto Superior Pedagógico.,,,,,,,
ESFA : Educación Superior de Formación Artística. ,,,,,,,
UNIV: Universidad.,,,,,,,
FFAA y Policía : Escuelas e Institutos de Educación Superior Tecnológicos de las Fuerzas Armadas y Policiales.,,,,,,,
COD. REGIMEN,DESC. REGIMEN,COD. TIPO INST.,DESC. TIPO INST.,COD.  INSTITUCIÓN,DESC. INSTITUCIÓN,COD.  CARRERA,DESC. CARRERA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,526035,AVIÓNICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,611035,AGROPECUARIA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,321015,CIENCIAS DE LA COMUNICACIÓN
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,331025,ADMINISTRACIÓN
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,224045,MÚSICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,332125,GASTRONOMÍA Y ARTE CULINARIO
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,441095,COMPUTACIÓN E INFORMÁTICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO,531055,GEOMÁTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170209858,ACAD. MUSICA Y DANZAS,223015,DANZA
2,PRIVADA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,271114933,ANTONIO RUIZ DE MONTOYA,121065,"EDUCACIÓN SECUNDARIA, ESPECIALIDAD: CIENCIAS SOCIALES"
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”,225015,ACTUACIÓN
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”,222115,DISEÑO ESCENOGRÁFICO
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”,225025,ARTE DRAMÁTICO
2,PRIVADA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,271468180,ARTE NEGOCIOS Y TECNOLOGIA,222075,DIRECCION Y DISEÑO GRAFICO
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171061894,BELLAS ARTES  “DIEGO QUISPE TITO” CALCA,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171061894,BELLAS ARTES  “DIEGO QUISPE TITO” CALCA,151015,EDUCACIÓN ARTÍSTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171062439,BELLAS ARTES  “DIEGO QUISPE TITO” DEL CUSCO,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171062439,BELLAS ARTES  “DIEGO QUISPE TITO” DEL CUSCO,151015,EDUCACIÓN ARTÍSTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171062439,BELLAS ARTES  “DIEGO QUISPE TITO” DEL CUSCO,221035,RESTAURACIÓN Y CONSERVACIÓN DE OBRAS DE ARTE
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170326108,BELLAS ARTES DEL PERU-LIMA,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170326108,BELLAS ARTES DEL PERU-LIMA,151015,EDUCACIÓN ARTÍSTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171061928,BELLAS ARTES DQT FILIAL CANCHIS,151015,EDUCACIÓN ARTÍSTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170702829,BELLAS ARTES MACEDONIO DE LA TORRE,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170702829,BELLAS ARTES MACEDONIO DE LA TORRE,151015,EDUCACIÓN ARTÍSTICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170695528,CARLOS BACA FLOR,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170394098,CARLOS VALDERRAMA,151045,EDUCACIÓN MUSICAL
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170394098,CARLOS VALDERRAMA,224045,MÚSICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171637859,CHABUCA GRANDA,221015,ARTES PLÁSTICAS Y VISUALES
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,171637859,CHABUCA GRANDA,224045,MÚSICA
1,PÚBLICA,7,EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA,170326124,CONSERVATORIO NACIONAL DE MÚSICA,224015,COMPOSICIÓN
