"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
923,INGRESOS DE CUARTA CATEGORIA QUE SON CONSIDERADOS DE QUNTA CATEGORIA,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
924,INGRESOS CUARTA-QUINTA SIN RELACIÓN DE DEPENDENCIA  (9),NO,NO,NO,NO,NO,NO,NO,NO,SI (9),SI,NO,NO,SI,NO,NO,,
925,INGRESO DEL PESCADOR Y PROCESADOR ARTESANAL INDEPENDIENTE - BASE DE CALCULO APORTE ESSALUD - LEY 27177,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
926,TRANSFERENCIA DIRECTA AL EXPESCADOR - LEY 30003,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,Incorporado en la Versión 2.6 del PDT PLAME,
927,BONIFICACIÓN PRIMA TEXTIL,SI,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 2.6 del PDT PLAME,
928,DEVOLUCIÓN RETENCIÓN EXCESO DE IMP. RENTA 5TA CAT.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Incorporado en la Versión 3.4 del PDT PLAME,
929,"OTRAS ASIGN, BONIF QUE FORMAN PARTE REMUNER Y EXCED VALOR DE MERCADO (DIVIDENDOS)",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
930,REMUNERACIÓN QUE EXCEDE EL VALOR DE MERCADO (DIVID) DE PERÍODOS ANTERIORES,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,Incorporado en la Versión 3.7 del PDT PLAME,
931,PARTICIPACIÓN PESCA CAPTURADA,SI,SI,NO,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,NO,NO,Incorporado en la Versión 4.5 del PDT PLAME,
932,REMUN TRAB PESQUEROS GRAVADA CON REP ARM Y REP TRAB,SI,SI,NO,SI,SI,NO,SI,NO,SI,SI,NO,SI,SI,NO,NO,Incorporado en la Versión 4.5 del PDT PLAME,
1000,OTROS CONCEPTOS,,,,,,,,,,,,,,,,,
1001,OTROS CONCEPTOS 1,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1002,OTROS CONCEPTOS 2,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1003,OTROS CONCEPTOS 3,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1004,OTROS CONCEPTOS 4,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1005,OTROS CONCEPTOS 5,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1006,OTROS CONCEPTOS 6,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
